Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1945,NL,82,72,4,4.86,155,6039,5343,753,1425,259,56,72,695,81,49,590,480,0.267,0.342,0.377,0.718,178,141,0.971,29.1
1944,NL,90,63,2,4.71,158,6102,5428,744,1441,248,80,70,706,87,50,573,616,0.265,0.338,0.379,0.717,191,122,0.97,29.1
1943,NL,80,74,4,4.26,157,6033,5353,669,1401,240,73,42,620,64,50,573,566,0.262,0.335,0.357,0.692,170,159,0.973,28
1942,NL,66,81,5,3.87,151,5762,5104,585,1250,173,49,54,544,41,50,537,536,0.245,0.32,0.33,0.65,184,128,0.969,27.8
1941,NL,81,73,4,4.42,156,5953,5297,690,1417,233,65,56,634,59,45,547,516,0.268,0.338,0.368,0.706,196,130,0.968,27.4
1940,NL,78,76,4,5.19,156,6115,5466,809,1511,276,68,76,740,69,,553,494,0.276,0.346,0.394,0.74,217,161,0.966,27.6
1939,NL,68,85,6,4.35,153,5923,5269,666,1453,261,60,63,617,44,,477,420,0.276,0.338,0.384,0.722,168,153,0.972,28.6
1938,NL,86,64,2,4.65,152,6011,5422,707,1511,265,66,65,659,47,,485,409,0.279,0.34,0.388,0.728,163,168,0.974,29.8
1937,NL,86,68,3,4.57,154,5997,5433,704,1550,223,86,47,649,32,,463,480,0.285,0.343,0.384,0.727,181,135,0.97,29.4
1936,NL,84,70,4,5.15,156,6212,5586,804,1596,283,80,60,732,37,,517,502,0.286,0.349,0.397,0.746,199,113,0.967,28.6
1935,NL,86,67,4,4.86,153,5974,5415,743,1543,255,90,66,682,30,,457,437,0.285,0.343,0.402,0.745,190,94,0.968,28
1934,NL,74,76,5,4.87,151,5880,5361,735,1541,281,77,52,679,44,,440,398,0.287,0.344,0.398,0.741,145,118,0.975,28
1933,NL,87,67,2,4.33,154,5962,5429,667,1548,249,84,39,618,34,,366,334,0.285,0.333,0.383,0.716,166,133,0.972,27.7
1932,NL,86,68,2,4.55,154,5906,5421,701,1543,274,90,48,653,71,,358,385,0.285,0.333,0.395,0.727,185,124,0.969,26.6
1931,NL,75,79,5,4.1,155,5999,5360,636,1425,243,70,41,597,59,,493,454,0.266,0.33,0.36,0.69,194,167,0.968,27.6
1930,NL,80,74,5,5.79,154,6060,5346,891,1622,285,119,86,844,76,,494,449,0.303,0.365,0.449,0.814,216,164,0.965,26.7
1929,NL,88,65,2,5.87,154,6198,5490,904,1663,285,116,60,828,94,,503,335,0.303,0.364,0.43,0.794,181,136,0.97,27.3
1928,NL,85,67,4,5.51,152,6037,5371,837,1659,246,100,52,768,64,,435,352,0.309,0.364,0.421,0.785,201,123,0.967,27.5
1927,NL,94,60,1,5.24,156,6077,5397,817,1648,258,78,54,759,65,,437,355,0.305,0.361,0.412,0.773,187,130,0.969,27.7
1926,NL,84,69,3,4.9,157,5970,5312,769,1514,243,106,44,707,91,,434,350,0.285,0.343,0.396,0.738,220,161,0.965,27.9
1925,NL,95,58,1,5.96,153,6036,5372,912,1651,316,105,78,820,159,63,499,363,0.307,0.369,0.449,0.818,224,171,0.964,28
1924,NL,90,63,3,4.73,153,5833,5288,724,1517,222,122,44,658,181,92,366,396,0.287,0.336,0.4,0.736,183,161,0.971,28
1923,NL,87,67,3,5.1,154,5942,5405,786,1592,224,111,49,701,154,75,407,362,0.295,0.347,0.404,0.751,179,157,0.971,29
1922,NL,85,69,3,5.58,155,6150,5521,865,1698,239,110,52,777,145,59,423,326,0.308,0.36,0.419,0.779,187,126,0.97,27.7
1921,NL,90,63,2,4.49,154,5947,5379,692,1533,231,104,37,623,134,93,341,371,0.285,0.33,0.387,0.718,172,129,0.973,28.4
1920,NL,79,75,4,3.42,155,5796,5219,530,1342,162,90,16,449,181,117,374,405,0.257,0.31,0.332,0.642,186,119,0.971,27.6
1919,NL,71,68,4,3.4,139,5049,4538,472,1132,130,82,17,394,196,,344,381,0.249,0.306,0.325,0.631,165,89,0.97,27.8
1918,NL,65,60,4,3.7,126,4671,4091,466,1016,107,72,15,391,200,,371,285,0.248,0.315,0.321,0.635,179,111,0.966,28.4
1917,NL,51,103,8,2.96,157,5788,5169,464,1230,160,61,9,396,150,,399,580,0.238,0.298,0.298,0.596,251,119,0.961,26
1916,NL,65,89,6,3.08,157,5769,5181,484,1246,147,91,20,406,173,,372,618,0.24,0.298,0.316,0.613,260,97,0.959,27.8
1915,NL,73,81,5,3.57,156,5742,5113,557,1259,197,91,24,464,182,111,419,656,0.246,0.309,0.334,0.644,214,100,0.966,27.9
1914,NL,69,85,7,3.18,158,5755,5145,503,1197,148,79,18,437,147,,416,608,0.233,0.295,0.303,0.597,223,96,0.966,27.8
1913,NL,78,71,4,4.34,155,5830,5252,673,1383,210,86,35,570,181,131,391,545,0.263,0.319,0.356,0.675,226,94,0.964,27.4
