Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1994,NL West,58,56,1,4.67,114,4371,3904,532,1055,160,29,115,505,74,37,366,687,0.27,0.333,0.414,0.748,88,104,0.98,28.7
1993,NL West,81,81,4,4.17,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,0.261,0.321,0.383,0.704,133,141,0.979,28.8
1992,NL West,63,99,6,3.38,162,6038,5368,548,1333,201,34,72,499,142,78,503,899,0.248,0.313,0.339,0.652,174,136,0.972,28.4
1991,NL West,93,69,2,4.1,162,6159,5408,665,1366,191,29,108,605,126,68,583,957,0.253,0.326,0.359,0.685,123,126,0.98,30.2
1990,NL West,86,76,2,4.49,162,6179,5491,728,1436,222,27,129,669,141,65,538,952,0.262,0.328,0.382,0.711,130,123,0.979,29.7
1989,NL West,77,83,4,3.46,160,6124,5465,554,1313,241,17,89,513,81,54,507,885,0.24,0.306,0.339,0.645,118,153,0.981,29.8
1988,NL West,94,67,1,3.88,162,6045,5431,628,1346,217,25,99,587,131,46,437,947,0.248,0.305,0.352,0.657,142,126,0.977,29
1987,NL West,73,89,4,3.92,162,6114,5517,635,1389,236,23,125,594,128,59,445,923,0.252,0.309,0.371,0.68,155,144,0.975,28.2
1986,NL West,73,89,5,3.94,162,6101,5471,638,1373,232,14,130,599,155,67,478,966,0.251,0.313,0.37,0.683,181,118,0.971,28
1985,NL West,95,67,1,4.21,162,6224,5502,682,1434,226,28,129,632,136,58,539,846,0.261,0.328,0.382,0.71,166,131,0.974,27.7
1984,NL West,79,83,4,3.58,162,6042,5399,580,1316,213,23,102,530,109,69,488,829,0.244,0.306,0.348,0.654,163,146,0.975,26.8
1983,NL West,91,71,1,4.01,163,6130,5440,654,1358,197,34,146,613,166,76,541,925,0.25,0.318,0.379,0.697,168,132,0.974,28.1
1982,NL West,88,74,2,4.27,162,6361,5642,691,1487,222,32,138,661,151,56,528,804,0.264,0.327,0.388,0.715,139,131,0.979,29.2
1981,NL West,63,47,2,4.09,110,4189,3751,450,984,133,20,82,427,73,46,331,550,0.262,0.323,0.374,0.697,87,101,0.98,29.3
1980,NL West,92,71,2,4.07,163,6221,5568,663,1462,209,24,148,638,123,72,492,846,0.263,0.323,0.388,0.711,123,149,0.981,30.4
1979,NL West,79,83,3,4.56,162,6188,5490,739,1443,220,24,183,713,106,46,556,834,0.263,0.331,0.412,0.743,118,123,0.981,30.4
1978,NL West,95,67,1,4.49,162,6225,5437,727,1435,251,27,149,686,137,52,610,818,0.264,0.338,0.402,0.74,140,138,0.978,30.5
1977,NL West,98,64,1,4.75,162,6328,5589,769,1484,223,28,191,729,114,62,588,896,0.266,0.336,0.418,0.753,124,160,0.981,29.2
1976,NL West,92,70,2,3.75,162,6125,5472,608,1371,200,34,91,561,144,55,486,744,0.251,0.313,0.349,0.662,128,154,0.98,27.8
1975,NL West,88,74,2,4,162,6246,5453,648,1355,217,31,118,606,138,52,611,825,0.248,0.325,0.365,0.69,127,106,0.979,27.4
1974,NL West,102,60,1,4.93,162,6332,5557,798,1511,231,34,139,744,149,75,597,820,0.272,0.342,0.401,0.743,157,122,0.975,27.1
1973,NL West,95,66,2,4.17,162,6267,5604,675,1473,219,29,110,623,109,50,497,795,0.263,0.323,0.371,0.694,125,166,0.981,27
