Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1960,NL,67,87,6,4.16,154,5941,5289,640,1324,230,40,140,604,73,37,512,858,0.25,0.318,0.388,0.706,125,155,0.979,27.3
1959,NL,74,80,5,4.96,154,5922,5288,764,1448,258,34,161,721,65,28,499,763,0.274,0.337,0.427,0.764,126,157,0.978,28
1958,NL,76,78,4,4.51,154,5981,5273,695,1359,242,40,123,649,61,38,572,765,0.258,0.331,0.389,0.719,100,148,0.983,29.6
1957,NL,80,74,4,4.85,154,6105,5389,747,1452,251,33,187,713,51,36,546,752,0.269,0.338,0.432,0.77,107,139,0.982,28.6
1956,NL,91,63,3,5,155,6004,5291,775,1406,201,32,221,734,45,22,528,760,0.266,0.336,0.441,0.777,113,147,0.981,27.7
1955,NL,75,79,5,4.94,154,5978,5270,761,1424,216,28,181,726,51,36,556,657,0.27,0.341,0.425,0.766,139,169,0.977,27.8
1954,NL,74,80,5,4.73,154,5972,5234,729,1369,221,46,147,685,47,30,557,645,0.262,0.333,0.406,0.739,137,194,0.977,27
1953,NL,68,86,6,4.61,155,5912,5343,714,1396,190,34,166,669,25,20,485,701,0.261,0.325,0.403,0.727,129,176,0.978,27.2
1952,NL,69,85,6,3.99,154,5787,5234,615,1303,212,45,104,562,32,42,480,709,0.249,0.314,0.366,0.68,107,145,0.982,28
1951,NL,68,86,6,3.61,155,5775,5285,559,1309,215,33,88,528,44,40,415,577,0.248,0.304,0.351,0.655,140,141,0.977,28.1
1950,NL,66,87,6,4.27,153,5845,5253,654,1366,257,27,99,617,37,40,504,497,0.26,0.327,0.376,0.702,140,132,0.976,27.5
1949,NL,62,92,7,4.02,156,5994,5469,627,1423,264,35,86,588,31,34,429,559,0.26,0.316,0.368,0.685,138,150,0.977,28.6
1948,NL,64,89,7,3.84,153,5698,5127,588,1266,221,37,104,548,42,40,478,586,0.247,0.313,0.365,0.678,158,135,0.973,28.4
1947,NL,73,81,5,4.42,154,5956,5299,681,1372,242,43,95,637,46,24,539,530,0.259,0.33,0.375,0.704,138,134,0.977,28.8
1946,NL,67,87,6,3.35,156,5935,5291,523,1262,206,33,65,481,82,51,493,604,0.239,0.307,0.327,0.634,155,192,0.975,28.4
1945,NL,61,93,7,3.48,154,5797,5283,536,1317,221,26,56,498,71,43,392,532,0.249,0.304,0.333,0.637,146,138,0.976,29.2
1944,NL,89,65,3,3.7,155,5821,5271,573,1340,229,31,51,528,51,54,423,391,0.254,0.313,0.338,0.651,137,153,0.978,30.4
1943,NL,87,67,2,3.92,155,5912,5329,608,1362,229,47,43,559,49,39,445,476,0.256,0.315,0.34,0.655,125,193,0.98,30
1942,NL,76,76,4,3.42,154,5863,5260,527,1216,198,39,66,488,42,43,483,549,0.231,0.299,0.321,0.62,177,158,0.971,28.7
